@id,rdf:type,skos:inScheme,skos:topConceptOf,skos:broader,skos:prefLabel,rdfs:label,skos:altLabel[1],skos:altLabel[2],skos:altLabel[3],skos:altLabel[4],skos:altLabel[5],skos:altLabel[6],skos:altLabel[7],skos:note,pav:version
iskouk:subjects,skos:ConceptScheme,,,,ISKO UK Subjects Taxonomy,ISKO UK Subjects Taxonomy,,,,,,,,,1.0
iskouk:9UFY9ETZ,skos:Concept,iskouk:subjects,iskouk:subjects,,Content repositories,,,,,,,,,,
iskouk:TU3G0039,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Archives,,,,,,,,,,
iskouk:HHF597ZG,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Collection management systems,,,,,,,,,,
iskouk:LYD4LF3C,skos:Concept,iskouk:subjects,,iskouk:HHF597ZG,Library management system,,,,,,,,,,
iskouk:LT26L0F4,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Content management systems,,,,,,,,,,
iskouk:TYPABJ5A,skos:Concept,iskouk:subjects,,iskouk:LT26L0F4,SharePoint,,,,,,,,,,
iskouk:G4OURL6K,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Databases,,,,,,,,,,
iskouk:ELKGW69O,skos:Concept,iskouk:subjects,,iskouk:G4OURL6K,Dbpedia,,,,,,,,,,
iskouk:NS9ZHDT0,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Information asset registers,,,,,,,,,,
iskouk:VYJDA4SJ,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Intranets,,,,,,,,,,
iskouk:5SLOHCQR,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Libraries,,,,,,,,,,
iskouk:6VLSNGQT,skos:Concept,iskouk:subjects,,iskouk:5SLOHCQR,Digital libraries,,,,,,,,,,
iskouk:0D82XPPC,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Metadata registries,,,,,,,,,,
iskouk:KGZMQ81C,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Online services,,News services,Journal services,,,,,,,
iskouk:BRHOGMD8,skos:Concept,iskouk:subjects,,iskouk:KGZMQ81C,Dialog,,,,,,,,,,
iskouk:XU2AGFTH,skos:Concept,iskouk:subjects,,iskouk:KGZMQ81C,Factiva,,,,,,,,,,
iskouk:F142AVAG,skos:Concept,iskouk:subjects,,iskouk:KGZMQ81C,LexisNexis,,,,,,,,,,
iskouk:W50L1KJK,skos:Concept,iskouk:subjects,,iskouk:KGZMQ81C,Medline,,,,,,,,,,
iskouk:PMI70J9C,skos:Concept,iskouk:subjects,,iskouk:KGZMQ81C,PubMed,,,,,,,,,,
iskouk:CCMEP1FZ,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Terminology management systems,,,,,,,,,,
iskouk:EI0RPSK8,skos:Concept,iskouk:subjects,,iskouk:CCMEP1FZ,Taxonomy management systems,,,,,,,,,,
iskouk:TZPLC0AR,skos:Concept,iskouk:subjects,,iskouk:CCMEP1FZ,Thesaurus management systems,,,,,,,,,,
iskouk:Q6OJYEKE,skos:Concept,iskouk:subjects,,iskouk:CCMEP1FZ,Ontology management systems,,,,,,,,,,
iskouk:Z29K9ZP2,skos:Concept,iskouk:subjects,,iskouk:9UFY9ETZ,Terminology registries,,KOS registries,Knowledge Organization System registries,,,,,,,
iskouk:RGSETEYP,skos:Concept,iskouk:subjects,,iskouk:Z29K9ZP2,BARTOC,,,,,,,,,,
iskouk:67ZW7M5G,skos:Concept,iskouk:subjects,iskouk:subjects,,Data and information types,,,,,,,,,,
iskouk:8ZGFI7BP,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Audiovisual materials,,A/V,,,,,,,,
iskouk:76Z0HDI5,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Blogs,,,,,,,,,,
iskouk:PR687YKO,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Business documents,,Enterprise content,Corporate information,,,,,,,
iskouk:DKIAAD71,skos:Concept,iskouk:subjects,,iskouk:67ZW7M5G,Data,,,,,,,,,,
iskouk:W215GY63,skos:Concept,iskouk:subjects,,iskouk:DKIAAD71,Address data,,Addresses,Address gazetteer,,,,,,,
iskouk:D8DMSMHB,skos:Concept,iskouk:subjects,,iskouk:DKIAAD71,Big data,,,,,,,,,,
iskouk:8DNZDIAJ,skos:Concept,iskouk:subjects,,iskouk:DKIAAD71,Geospatial data,,Geospatial information,Location data,Spatial data,Geodata,,,,,
iskouk:DHFBT3K0,skos:Concept,iskouk:subjects,,iskouk:DKIAAD71,Medical records,,Patient records,Clinical records,Health records,,,,,,
iskouk:HGRGMCFH,skos:Concept,iskouk:subjects,,iskouk:DKIAAD71,Linked open data,,Linked data,,,,,,,,
iskouk:TPVRXYNX,skos:Concept,iskouk:subjects,,iskouk:DKIAAD71,Open data,,,,,,,,,,
iskouk:9TF2ASWF,skos:Concept,iskouk:subjects,,iskouk:DKIAAD71,Personal data,,,,,,,,,,
